"コード","品目","細目","単位","標準単価","価格帯下限","価格帯上限","備考"
"PL2-001","モルタル塗り（壁）","左官","㎡","3500","2500","5000","厚15-20mm。下地の状態（不陸・吸水）で変動"
"PL2-002","モルタル塗り（床）","左官","㎡","3000","2000","4500","厚20-30mm。仕上げ精度で変動。金鏝仕上げ"
"PL2-003","珪藻土塗り","左官","㎡","5500","4000","7500","調湿・消臭効果。パターン仕上げ。下地処理込み"
"PL2-004","漆喰塗り","左官","㎡","6000","4500","8500","消石灰系。抗菌・調湿効果。磨き仕上げは+2,000円/㎡"
"PL2-005","タイル下地モルタル","下地","㎡","2800","2000","4000","タイル張り前の下地調整。不陸精度±3mm以内"
"PL2-006","巾木モルタル","左官","m","1200","800","1800","H=100mm程度。面取り仕上げ"
"PL2-007","コーナー補修","補修","箇所","3000","2000","5000","出隅・入隅の欠損補修。ステンレスコーナー材使用"
"PL2-008","セルフレベリング","下地","㎡","2500","1800","3500","厚5-10mm。精密な床レベル調整。乾燥期間要"
"PL2-009","モルタル造形（木目調）","造形","㎡","25000","18000","35000","手彫り造形+塗装。ディテール精度・面積で変動。職人技量に依存"
"PL2-010","モルタル造形（石目調）","造形","㎡","22000","15000","32000","石積み・石壁の造形+塗装。目地深さ・石種パターンで変動"
"PL2-011","モルタル造形（レンガ調）","造形","㎡","20000","14000","28000","レンガ積みの造形+塗装。目地幅・レンガサイズで変動"
"PL2-012","エイジング塗装","塗装","㎡","8000","5000","15000","経年変化風の特殊塗装。モルタル造形との組合せが一般的"
